Jour,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45
Lundi,3,0,3,2,0,3,0,0,2,0,4,4,5,0,4,5,4,0,1,2,0,2,4,4
Mardi,0,2,5,0,4,5,4,4,0,5,5,4,5,5,1,4,0,0,3,5,0,0,2,0
Mercredi,2,3,1,2,1,4,3,0,2,4,2,0,3,3,0,1,0,5,4,0,1,0,2,5
Jeudi,1,0,4,5,0,4,3,5,2,5,0,2,2,4,5,5,3,2,4,2,1,0,0,4
Vendredi,0,5,4,1,0,4,1,2,4,4,0,0,0,3,0,2,4,4,5,5,2,2,3,4
